@RELATION weather2_clean60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
28.8,63.1,21.08,1005.73,213,0
30.7,63.6,23.01,1007.05,243,0
27.8,79.2,23.86,1009.31,243,0
36.2,41.3,20.98,1008.47,922,0
29.3,68.6,22.93,1007.43,245,0
33,55.6,22.94,1007.02,944,0
27,83.6,23.98,1008.68,241,0
31.2,50.7,19.77,1004.28,215,0
33.4,45.4,20,1004.31,905,0
31.3,61.9,23.12,1008.48,809,0
26.9,81.9,23.55,1006.84,212,0
28.5,73.5,23.3,1009.54,243,0
37.4,41.2,22.01,1008.64,931,0
26,84.9,23.26,1006.88,239,0
26.9,83.8,23.93,1008.04,909,0
31.6,53,20.86,1006.15,450,0
31.9,49,19.86,1003.95,531,0
29.5,61,21.19,1007.88,213,0
26.5,90.1,24.74,1008.5,241,0
27.8,72.6,22.43,1008.38,213,0
26.8,87.7,24.59,1009.78,241,0
27.3,81.2,23.79,1008.3,241,0
33.7,54,23.11,1007.72,948,0
27.5,71.9,21.98,1005.34,213,0
30.2,68.2,23.69,1005.66,717,0
32.6,57.9,23.24,1010.72,924,0
27.6,72.6,22.23,1008.23,212,0
33.1,47.4,20.42,1004.53,907,0
34.7,45,21.03,1007.12,876,0
27.8,80.4,24.12,1008.26,239,0
26.3,76.7,21.88,1006.02,647,0
32.8,49.6,20.88,1005.58,717,0
28.2,67.9,21.71,1007.24,213,0
27.1,72.5,21.73,1006.21,213,0
27.7,87.8,25.49,1005.28,241,0
31.1,56.6,21.47,1007.07,213,0
35.5,45.7,22,1003.2,922,1
28.1,76.2,23.51,1008.18,213,0
24,91.5,22.53,1008.32,189,1
26.2,90.7,24.56,1007.82,239,0
28.5,69.5,22.38,1008.58,213,0
33.2,57,23.54,1005.42,658,0
30.1,69.5,23.91,1008.81,243,0
41.7,32.2,21.75,1006.36,1023,0
35.2,48.8,22.81,1006.63,948,0
28.8,75.8,24.1,1008.91,213,0
32.1,63.3,24.25,1009.08,241,0
28,77.3,23.66,1008.34,213,0
27.6,79.8,23.8,1008.1,241,0
26.8,71.6,21.24,1005.43,212,0
30.1,61.4,21.86,1003.88,213,0
25.7,84.5,22.89,1010.47,3,1
28,75.6,23.29,1008.47,243,0
29.1,73.5,23.88,1010.41,243,0
33.4,59.3,24.38,1006.02,911,0
28.2,75,23.35,1008.19,213,0
32.3,58.7,23.18,1005.02,848,0
26.3,85.4,23.65,1007.32,239,1
28.6,73.2,23.33,1009.77,243,0
31,67.9,24.38,1010.28,931,0
32.2,63.4,24.37,1009.02,243,0
28.5,67.1,21.8,1007.23,213,0
42.9,26.4,19.55,1007.8,974,0
27,85.8,24.42,1010.69,243,0
32.4,59,23.36,1007.18,243,0
37.2,39.6,21.19,1006.99,974,0
26.2,75.3,21.48,1007.27,730,1
27.7,72.1,22.22,1004.8,213,0
31.2,52.5,20.34,1006.64,213,0
33.7,48.7,21.41,1008,894,1
30.1,66.9,23.27,1005.19,797,0
24.1,91.8,22.68,1008.33,174,1
28.6,76.1,23.98,1008.55,931,0
27,72.2,21.57,1006,212,0
26.7,68.1,20.33,1008.36,213,0
37.4,39.5,21.32,1006.86,916,0
26.7,88.3,24.6,1009.74,241,0
32.3,45.8,19.14,1005.72,766,0
31.9,56.7,22.24,1007.8,967,0
26.6,76,22.02,1007.62,206,0
28.8,71.3,23.09,1008.25,213,0
30.6,58.1,21.43,1006.11,213,0
28,84.4,25.12,1006.21,241,0
29.4,61.4,21.2,1008.13,213,0
26.7,68.2,20.35,1008.37,712,0
28.6,72.5,23.17,1010.12,243,0
29.2,73,23.86,1008.88,213,0
28.9,66.5,22.03,1008.63,213,0
28,72.7,22.64,1008.2,213,0
26.1,87.8,23.92,1007.51,241,0
34.1,46.9,21.16,1005.01,876,0
32.3,60.1,23.57,1007.74,243,0
25.8,73.6,20.73,1007.84,212,0
28.8,74.8,23.88,1007.09,212,0
31,54.7,20.82,1004.33,837,0
34.4,46,21.11,1005.56,890,0
31.2,51.9,20.15,1006.52,736,0
31.9,61.2,23.5,1005.58,892,0
28.4,74.6,23.45,1008.83,243,0
26.1,88.1,23.97,1007.39,241,0
26.8,86.8,24.41,1009.86,241,0
27.6,77.8,23.37,1008.12,241,0
30.4,68.6,23.98,1008.66,952,0
26.9,83,23.77,1007.29,239,0
26.7,68.1,20.33,1008.44,213,0
37.1,44.9,23.16,1005.67,1009,0
36.8,40,20.99,1009.01,924,0
26.4,90,24.63,1008.57,241,0
31.3,66,24.19,1006.05,879,0
30.1,63.7,22.46,1006.69,890,0
35.5,46.4,22.25,1006.67,969,0
28.5,73.9,23.39,1009.28,243,0
28.2,71.1,22.47,1009.27,213,1
35,60.9,26.33,1004.78,907,0
33.6,47.2,20.81,1005.19,896,0
24.5,90,22.75,1004.5,191,0
29.1,62.6,21.24,1005.9,213,0
36.9,37.4,19.99,1006.87,903,0
32.2,50,20.46,1007.41,883,0
26.2,73.9,21.18,1005.35,212,0
30,59.1,21.14,1006,213,0
33.5,44.3,19.69,1007.65,673,0
26,88.6,23.97,1007.54,239,0
30.5,67,23.68,1006.01,837,0
28,68.6,21.69,1005.03,213,0
27.5,62.5,19.7,1009.13,850,0
28.9,77.4,24.55,1006.29,236,0
33,52.7,22.06,1007.41,844,0
29,73.4,23.76,1007.15,212,0
30.3,63.6,22.63,1004.13,217,0
26.4,90.5,24.72,1007.68,238,0
28.3,77,23.88,1008.71,213,0
33.4,52.6,22.39,1005.29,954,0
33.9,50.4,22.15,1007.55,887,0
28.2,68.7,21.9,1005.2,213,0
31.2,66.9,24.32,1006.2,870,0
36.1,39.2,20.04,1006.11,911,0
31.9,53.5,21.29,1003.5,861,0
32.2,48.5,19.97,1006.29,667,0
29.9,63.4,22.2,1004.32,213,0
27.7,79.6,23.85,1008.11,241,0
29.3,71.7,23.66,1008.97,213,0
33.1,51.2,21.68,1006.55,900,0
28.4,78.3,24.26,1009.94,794,0
26.1,71.1,20.45,1007.57,212,0
