@RELATION weather_clean_2hr_60

@ATTRIBUTE temp NUMERIC
@ATTRIBUTE humidity NUMERIC
@ATTRIBUTE dewpoint NUMERIC
@ATTRIBUTE pressure NUMERIC
@ATTRIBUTE light NUMERIC
@ATTRIBUTE rain {0,1}

@data
37,36.2,19.56,1006.63,911,0
30.8,60,22.14,1004.25,213,0
27.4,83.3,24.32,1007.43,210,0
32.2,60.9,23.7,1004.83,885,0
34.2,50.8,22.56,1010.21,948,0
27.1,67.8,20.64,1008.88,213,0
30.8,62.4,22.79,1008.74,956,0
33.6,54.2,23.07,1005.5,933,0
28.4,82.3,25.09,1007.26,241,0
34.7,42.7,20.18,1005.08,894,0
36.5,42.1,21.56,1006.97,974,0
33.2,57.3,23.62,1005.68,649,0
32.5,55,22.3,1010.61,920,0
30.9,60.5,22.37,1009.45,243,0
32.3,59.9,23.52,1005.33,766,0
34.8,45.6,21.33,1007.32,902,0
37.5,42.3,22.54,1006.45,922,0
28.4,71.2,22.68,1009.12,241,0
26.2,76.3,21.7,1005.87,213,0
27.2,84.7,24.4,1007.36,212,0
49.9,21.3,21.88,1009.53,1023,0
29.6,75.4,24.79,1008.83,241,0
28.7,65.7,21.65,1006.42,213,0
33.5,50.1,21.69,1006.89,909,0
30.7,67.2,23.92,1006.72,924,0
28.4,74,23.32,1009.35,243,0
29.1,60.8,20.76,1007.92,213,0
35.9,47.8,23.11,1006.07,1008,0
30.4,68.6,23.98,1004.6,204,0
33.1,55.3,22.94,1004.6,939,0
28.1,78.3,23.97,1005.53,212,0
31.3,61.9,23.12,1006.14,742,0
26.2,84.7,23.42,1006.71,239,0
33.5,45.9,20.26,1005.63,851,0
29.8,69.8,23.69,1006.54,903,0
27.5,73.6,22.36,1008.11,210,0
33.7,57.2,24.06,1004.15,980,0
28.8,87.4,26.5,1006.62,238,0
26.2,84.1,23.3,1007.86,730,0
34.9,48.4,22.4,1008.81,965,0
31.9,50.4,20.32,1006.07,879,0
37.9,42.4,22.93,1006.12,1013,0
29.6,74.4,24.56,1007.7,241,0
32.6,51.9,21.44,1007.04,864,0
29.8,62.9,21.97,1007.37,213,0
32.4,59.6,23.53,1007.1,213,0
28.9,64.4,21.51,1007.04,213,0
31.5,61.4,23.18,1007.93,876,0
35.7,46.6,22.51,1006.91,985,0
26.6,84.8,23.83,1006.29,212,0
32.7,57.5,23.22,1005.04,846,0
33,46.2,19.92,1005.98,740,0
32.5,50.1,20.77,1005.78,647,0
32.6,58.2,23.32,1008.68,837,0
33.2,66.2,26.04,1004.29,213,0
26.7,76.4,22.2,1006.33,796,0
34.4,48.2,21.88,1007.67,935,0
31.2,52.5,20.34,1006.64,213,0
27.6,83.6,24.57,1005.69,401,0
31.1,54.6,20.88,1007.1,213,0
27,86,24.46,1005.27,213,0
35.4,44.3,21.4,1007.13,848,0
34.6,43.8,20.5,1005.34,889,0
28.5,75.7,23.79,1010.11,736,0
28.2,83.9,25.22,1007.19,241,0
28.5,70.6,22.64,1009.17,241,0
30.1,72.5,24.61,1006.84,245,0
28.1,69.2,21.93,1007.23,213,0
30.7,74.3,25.6,1007.76,243,0
29.9,72,24.3,1004.97,241,0
28.1,75.7,23.4,1009.04,243,0
23.9,91.8,22.48,1007.09,200,0
27.4,82.2,24.09,1005.36,213,0
29.4,60.8,21.04,1004.91,282,0
26.7,80.8,23.13,1007.87,212,0
28.3,71.1,22.56,1009.05,213,0
28.7,68.2,22.26,1008.64,213,0
32.6,54.2,22.15,1010.52,918,0
29.5,66.6,22.63,1005.68,212,0
33.9,49.2,21.76,1008.98,972,0
29.6,74.2,24.52,1010.23,877,0
33.4,54.6,23.01,1004.72,954,0
28.7,67.7,22.14,1008.52,213,0
32.1,56.5,22.37,1005.65,850,0
28.1,58.4,19.17,1009.29,870,0
27.7,64.6,20.42,1009.17,213,0
26.9,86.5,24.46,1004.39,213,0
27.3,84,24.36,1010.44,0,0
29.4,74.9,24.48,1005.51,241,0
27.6,82,24.25,1005.4,213,0
35,45.4,21.44,1005.03,907,0
34.2,53.5,23.41,1009.84,943,0
27.8,70.6,21.97,1007.16,213,0
34.1,43,19.75,1006.78,896,0
29.7,69.1,23.43,1009.64,243,0
34.2,53.4,23.38,1009.23,963,0
27.9,74.4,22.93,1008.3,241,0
29.3,69.3,23.09,1010.83,243,0
31.2,63.8,23.53,1005.77,909,0
34.2,48.6,21.83,1004.84,935,0
26.1,89.2,24.18,1007.54,239,0
